time              3.534000000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
  -8.516936343e-03 -1.028911343e-02  5.984410888e-01  1.335679827e-02  1.243402943e+00 -1.937444803e-05 -2.266558877e-05  5.942985403e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242685000e+00 
  -8.269844775e-03 -2.306857910e-03  6.608664304e-01  8.585564980e-03  1.243433865e+00 -1.720416735e-05 -5.869686573e-06  5.943256058e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242695000e+00 
  -8.071192952e-03  2.304948027e-03  5.568924758e-01  8.393863299e-03  1.243455964e+00 -1.536184226e-05  4.067002764e-06  5.943449456e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  3.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242705000e+00 
  -7.903964971e-03 -3.927034094e-03  6.193064129e-01  8.825772433e-03  1.243474592e+00 -1.335103971e-05 -7.234562701e-06  5.943612466e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  4.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242715000e+00 
  -7.768818293e-03  1.090946356e-03  6.817189218e-01  7.845043125e-03  1.243491680e+00 -2.045135656e-05  3.495006420e-06  5.943761996e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  5.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242725000e+00 
  -7.639527297e-03 -1.086767415e-03  5.777399024e-01  7.716439641e-03  1.243508320e+00 -1.723886769e-05  4.493756079e-07  5.943907589e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  6.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242735000e+00 
  -7.524770562e-03  3.922308810e-03  6.401524094e-01  8.485674894e-03  1.243525408e+00 -1.542598471e-05  2.774503515e-06  5.944057101e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  7.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242745000e+00 
  -7.420628446e-03 -5.230001210e-03  7.025663417e-01  9.078471192e-03  1.243544036e+00 -1.376444064e-05 -1.257645638e-05  5.944220066e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  8.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242755000e+00 
  -7.324695231e-03  5.366200382e-04  5.431286748e-01  7.344325789e-03  1.243566135e+00 -1.176088253e-05 -1.743467058e-07  5.944413383e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  9.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242765000e+00 
  -7.245118022e-03 -1.671340561e-03  6.055539975e-01  7.435396050e-03  1.243597057e+00 -1.843607686e-05 -3.572763378e-06  5.944683859e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242775000e+00 
  -7.161898432e-03  3.031705562e-03  6.677020433e-01  7.777147791e-03  1.243328898e+00 -1.593743208e-05  6.481305344e-06  5.942337198e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.100000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242785000e+00 
  -7.084776813e-03 -3.029505111e-03  5.637795512e-01  7.705320481e-03  1.243406476e+00 -1.426281551e-05 -4.404363576e-06  5.943016336e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.200000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242795000e+00 
  -7.012252982e-03  1.673985643e-03  6.262036952e-01  7.209293989e-03  1.243436108e+00 -1.264013039e-05  6.069379891e-06  5.943275687e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.300000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  6.000000000e+00  1.242805000e+00 
  -6.943156868e-03 -5.423528851e-04  6.886204382e-01  6.964307141e-03  1.243457761e+00 -1.048874068e-05 -5.236722546e-06  5.943465182e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.400000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242815000e+00 
  -6.886845558e-03  5.225185812e-03  5.846430791e-01  8.644721425e-03  1.243476189e+00 -1.707248307e-05  8.031340481e-06  5.943626444e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.500000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  4.000000000e+00  1.242825000e+00 
  -6.824442083e-03 -6.327428223e-03  6.470555138e-01  9.306414866e-03  1.243493198e+00 -1.493447836e-05 -1.344006391e-05  5.943775275e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.600000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  6.000000000e+00  1.242835000e+00 
  -6.765439350e-03  2.679359596e-04  7.094676089e-01  6.770742889e-03  1.243509841e+00 -1.333897370e-05  3.379557038e-07  5.943920899e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.700000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242845000e+00 
