time              7.519400000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
   9.554279660e-04 -4.205030373e-03  1.392904038e+00  4.312206284e-03  1.243962779e+00 -6.301809319e-06  6.029923867e-05  5.947880336e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.220000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242695000e+00 
   9.284710098e-04 -1.411793655e-03  1.350298475e+00  1.689739548e-03  1.243560178e+00  2.328756768e-06 -1.653432924e-05  5.944361278e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.210000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242705000e+00 
   7.795981226e-04  1.022765976e-03  1.361021838e+00  1.286010682e-03  1.243050227e+00  9.140205820e-07  1.085867169e-05  5.939895946e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.177000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242715000e+00 
   9.637605949e-04  1.316554503e-04  1.370781225e+00  9.727114896e-04  1.242959289e+00  1.326168611e-06  3.123029870e-06  5.939098731e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.217000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242725000e+00 
   9.935926136e-04 -1.806307057e-03  1.377632318e+00  2.061545892e-03  1.243089446e+00 -4.683821463e-06  1.715739518e-05  5.940239681e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.226000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242735000e+00 
   8.599490475e-04  3.996948836e-03  1.357142389e+00  4.088411960e-03  1.243416114e+00  1.095761223e-06  7.118228574e-05  5.943100653e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.195000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242745000e+00 
   9.802571547e-04  1.431964558e-03  1.288892878e+00  1.735346243e-03  1.243530028e+00  3.509832291e-06  2.127770156e-05  5.944097516e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.221000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242755000e+00 
   9.982312875e-04  3.648565938e-03  1.275356771e+00  3.782657678e-03  1.244062552e+00 -1.112446679e-07 -1.201840492e-05  5.948751619e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.227000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242765000e+00 
   9.624680274e-04 -2.484474801e-03  1.267936441e+00  2.664387311e-03  1.243902166e+00  4.941184291e-07  2.441333029e-05  5.947350897e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.218000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242775000e+00 
   8.700021582e-04 -3.376631624e-03  1.419567279e+00  3.486910506e-03  1.243438138e+00  3.311708270e-06 -5.638902743e-05  5.943293426e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.196000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242785000e+00 
   8.694657867e-04 -1.781057584e-03  1.294710302e+00  1.981952792e-03  1.243397591e+00  7.031730919e-06 -2.605709691e-05  5.942938563e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.194000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242795000e+00 
   6.983960902e-04 -1.265613263e-03  1.303019335e+00  1.445522062e-03  1.242964612e+00  2.581138371e-06 -1.215341217e-05  5.939145400e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.158000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242805000e+00 
   4.624126056e-03 -2.763018482e-04  1.340888933e+00  4.632373527e-03  1.244078845e+00  8.407939289e-06 -3.831261468e-07  5.948893863e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.822000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242815000e+00 
   4.558503450e-03 -1.542523224e-03  1.255841870e+00  4.812414321e-03  1.243180243e+00 -7.548069227e-05  2.649066217e-05  5.941035212e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.818000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242825000e+00 
   4.782151373e-03  1.024154292e-03  1.416595472e+00  4.890589306e-03  1.243465200e+00  8.414995258e-05  2.019992705e-05  5.943530218e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.817000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  4.000000000e+00  1.242835000e+00 
   4.486330631e-03 -8.914361825e-04  1.396247334e+00  4.574037713e-03  1.244149256e+00 -2.835858081e-05  4.770207797e-06  5.949508470e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.814000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242845000e+00 
   4.465932953e-03  1.585400190e-03  1.333651274e+00  4.738992604e-03  1.244071867e+00 -3.563867209e-05 -1.941201171e-05  5.948832928e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.813000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  7.000000000e+00  1.242855000e+00 
   4.580649142e-03  3.509401478e-04  1.248856551e+00  4.594072872e-03  1.242958843e+00 -2.097523437e-05 -2.856812587e-06  5.939094817e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.809000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  7.000000000e+00  1.242865000e+00 
   4.632800161e-03 -6.162295160e-04  1.302345544e+00  4.673604193e-03  1.242951790e+00  3.142338196e-05 -6.436410036e-06  5.939032970e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.806000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242875000e+00 
   4.513421052e-03  2.011344909e-03  1.407830244e+00  4.941303263e-03  1.243888389e+00  3.698153943e-05  2.577301740e-05  5.947230526e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.805000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.200000000e+01  1.242885000e+00 
   4.347640361e-03 -1.861315083e-03  1.385874515e+00  4.729320305e-03  1.243596216e+00 -6.828554364e-05  2.916070425e-05  5.944676460e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.802000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  8.000000000e+00  1.242895000e+00 
   4.342902417e-03  6.392034251e-04  1.323419510e+00  4.389690470e-03  1.243565572e+00 -7.063880782e-05 -1.334199161e-05  5.944408415e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.801000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  9.000000000e+00  1.242905000e+00 
   4.599656568e-03 -1.282428597e-03  1.358544931e+00  4.775087816e-03  1.243296901e+00  7.342643076e-05 -1.982363413e-05  5.942056979e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.798000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+01  1.242915000e+00 
   4.574654952e-03  1.364034341e-03  1.296138654e+00  4.773683861e-03  1.243282264e+00  6.969979876e-05  2.441212104e-05  5.941928811e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.797000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  5.000000000e+00  1.242925000e+00 
   4.344610049e-03  3.043017122e-05  1.378028469e+00  4.344716616e-03  1.243001904e+00 -4.801114119e-05 -2.309791416e-06  5.939472337e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.793000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.100000000e+01  1.242935000e+00 
   9.163039871e-04 -3.864437733e-03  1.363334130e+00  3.971585577e-03  1.243067032e+00  7.413483884e-06 -5.291006854e-05  5.940043218e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.204000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+01  1.242945000e+00 
   9.871859024e-04  7.370854797e-04  1.315248643e+00  1.232002845e-03  1.243077844e+00 -4.595376496e-06 -1.253678404e-05  5.940138005e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.225000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+01  1.242955000e+00 
   4.470977254e-03 -2.022535505e-05  1.414707203e+00  4.471023001e-03  1.243709647e+00  6.889846435e-05  1.966725465e-06  5.945668373e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.790000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.800000000e+01  1.242965000e+00 
   4.187859493e-03 -1.255508262e-03  1.330904319e+00  4.372009621e-03  1.243873158e+00 -5.010805427e-05  1.724965162e-05  5.947097452e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.786000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  7.000000000e+00  1.242975000e+00 
   4.178965649e-03  1.198801809e-03  1.268437233e+00  4.347514195e-03  1.243855160e+00 -5.380959243e-05 -1.952308556e-05  5.946940191e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.785000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.500000000e+01  1.242985000e+00 
   4.340396304e-03 -6.616640439e-04  1.246372947e+00  4.390539759e-03  1.242805918e+00 -7.275302768e-06  2.018751918e-06  5.937753553e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.782000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.500000000e+01  1.242995000e+00 
   4.369421275e-03  1.971441204e-03  1.430961005e+00  4.793581406e-03  1.243061769e+00  1.427238608e-05  4.975220028e-06  5.939997117e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.781000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  6.000000000e+00  1.243005000e+00 
   4.321488723e-03 -2.025760534e-03  1.411764994e+00  4.772731977e-03  1.243836773e+00  5.870888438e-05 -3.306344877e-05  5.946779517e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.778000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.900000000e+01  1.243015000e+00 
