time              7.519400000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
   6.390607571e-05 -8.582393294e-06  1.307616203e+00  6.447979518e-05  1.242832271e+00 -1.996453517e-06 -3.964847277e-06  5.937984745e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242725000e+00 
  -1.132906882e-05 -1.444811468e-04  1.370012244e+00  1.449246341e-04  1.242858655e+00  1.790207707e-07 -2.829863740e-06  5.938216186e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242735000e+00 
   2.541628383e-05  1.709634939e-04  1.267092913e+00  1.728424246e-04  1.243776015e+00  1.141238667e-05 -2.298892113e-06  5.946248564e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  3.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242745000e+00 
  -1.133509432e-04 -1.433539162e-04  1.329561448e+00  1.827533354e-04  1.243797006e+00  1.503230134e-05  2.275829006e-06  5.946432026e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  4.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242755000e+00 
   1.769099438e-04  1.668431951e-04  1.392023837e+00  2.431743818e-04  1.243815179e+00  3.449185646e-06  2.940419249e-08  5.946590845e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  5.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242765000e+00 
   1.712876651e-04 -1.795821649e-04  1.288633775e+00  2.481717514e-04  1.243713239e+00 -9.961569161e-06  1.438448528e-06  5.945699814e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  6.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242775000e+00 
  -2.194146616e-04  1.922974100e-04  1.351084695e+00  2.917551844e-04  1.243731386e+00 -1.307650122e-05 -3.207570182e-06  5.945858456e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  7.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242785000e+00 
  -3.009711796e-04 -1.262178960e-04  1.413531441e+00  3.263657583e-04  1.243746355e+00 -1.310993742e-05 -4.639398604e-06  5.945989313e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  8.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  6.000000000e+00  1.242795000e+00 
   3.143502013e-04  1.197824733e-04  1.252449418e+00  3.363984096e-04  1.243144008e+00  9.873576524e-06 -3.234914917e-06  5.940717798e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  9.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242805000e+00 
   1.289363524e-04 -3.201849626e-04  1.314868290e+00  3.451709624e-04  1.243175314e+00  3.589458137e-06  1.232142353e-06  5.940992078e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  4.000000000e+00  1.242815000e+00 
  -1.337098392e-04  3.333782532e-04  1.376677077e+00  3.591926792e-04  1.242890846e+00  8.584087474e-06 -2.766468913e-06  5.938498535e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.100000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  6.000000000e+00  1.242825000e+00 
  -1.257269775e-04 -3.404995101e-04  1.274496279e+00  3.629699564e-04  1.243939412e+00  4.184823050e-06  3.016508735e-06  5.947676267e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.200000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  5.000000000e+00  1.242835000e+00 
