time              7.519400000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
   7.288785173e-05 -7.855353155e-06  1.327577060e+00  7.330992772e-05  1.242529429e+00 -2.736637031e-06 -3.484671340e-06  5.935326497e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.241315000e+00 
  -1.857831978e-06 -1.410980728e-04  1.348987920e+00  1.411103033e-04  1.242838654e+00 -8.241429408e-07 -1.848692921e-06  5.938040737e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241325000e+00 
   1.857501703e-06  1.754510197e-04  1.314759729e+00  1.754608522e-04  1.243059638e+00  8.239964292e-07 -5.880758708e-07  5.939978440e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  3.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241335000e+00 
  -1.417364601e-04 -1.465765176e-04  1.335926642e+00  2.038967867e-04  1.243245915e+00  2.735059899e-06  5.879877586e-07  5.941610521e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  4.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241345000e+00 
   1.549421518e-04  1.718705940e-04  1.357062924e+00  2.314013213e-04  1.243416802e+00 -5.661702648e-06  1.847833339e-06  5.943106720e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  5.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241355000e+00 
   1.802309061e-04 -1.775562654e-04  1.322726126e+00  2.530008041e-04  1.243583198e+00 -2.295235431e-06  3.481718553e-06  5.944562637e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  6.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241365000e+00 
  -2.026627505e-04  1.866496642e-04  1.343861966e+00  2.755182164e-04  1.243754085e+00 -4.907628369e-07 -6.612717010e-06  5.946056877e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  7.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241375000e+00 
  -2.802530340e-04 -1.243852362e-04  1.365027888e+00  3.066161281e-04  1.243940362e+00  1.164970560e-06 -3.199651029e-06  5.947684562e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  8.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241385000e+00 
   3.084251250e-04  1.210108561e-04  1.312309831e+00  3.313150842e-04  1.244161346e+00  3.228218286e-06 -1.654060522e-06  5.949613990e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  9.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241395000e+00 
   1.216103462e-04 -3.193133599e-04  1.333716825e+00  3.416871348e-04  1.244470571e+00 -4.552639752e-06 -4.184731086e-07  5.952311078e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.241405000e+00 
  -1.429167727e-04  3.364194123e-04  1.349218947e+00  3.655177491e-04  1.241788983e+00 -1.897087756e-06  7.595633951e-07  5.928813879e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.100000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.241415000e+00 
  -1.454599255e-04 -3.456649830e-04  1.316092010e+00  3.750238265e-04  1.242564762e+00 -1.631956880e-07  2.048649752e-06  5.935636798e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.200000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241425000e+00 
   1.546980476e-04  3.737467675e-04  1.337477267e+00  4.044973821e-04  1.242861080e+00  1.521182046e-06  3.793404031e-06  5.938237460e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.300000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241435000e+00 
   3.881231751e-04 -1.699584138e-04  1.358704230e+00  4.237044506e-04  1.243077607e+00  3.815412609e-06 -5.658245248e-06  5.940135926e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.400000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241445000e+00 
  -4.019271928e-04  1.562895803e-04  1.324403183e+00  4.312445955e-04  1.243261891e+00 -3.814847065e-06 -2.941995211e-06  5.941750437e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.500000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241455000e+00 
  -4.351402348e-04 -8.918184815e-05  1.345537865e+00  4.441851258e-04  1.243431978e+00 -1.520483625e-06 -1.467825247e-06  5.943239542e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.600000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241465000e+00 
   4.457888149e-04  8.803437506e-05  1.366665118e+00  4.543981939e-04  1.243598409e+00  1.630600439e-07 -2.508217633e-07  5.944695687e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.700000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241475000e+00 
   9.551485891e-05 -4.566214757e-04  1.313850686e+00  4.665042983e-04  1.243770183e+00  1.894065888e-06  9.310531921e-07  5.946197588e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.800000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.241485000e+00 
  -8.354887695e-05  4.767246853e-04  1.335020801e+00  4.839905375e-04  1.243958601e+00  4.554513460e-06  2.253576722e-06  5.947843872e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.900000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241495000e+00 
  -2.815679315e-04 -4.011796547e-04  1.356264212e+00  4.901281622e-04  1.244184414e+00 -3.228158433e-06  4.136868447e-06  5.949815300e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241505000e+00 
   2.786110483e-04  4.095784144e-04  1.322236021e+00  4.953570367e-04  1.244508332e+00 -1.164438889e-06 -5.022047254e-06  5.952640213e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.100000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241515000e+00 
   4.321509215e-04 -2.941062591e-04  1.338013799e+00  5.227359856e-04  1.241965238e+00  4.914697002e-07 -2.702670437e-06  5.930365839e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.200000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241525000e+00 
  -4.357751927e-04  2.917362643e-04  1.360066870e+00  5.244140220e-04  1.242598033e+00  2.297055154e-06 -1.286163019e-06  5.935928955e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.300000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.241535000e+00 
  -4.378773624e-04 -3.013003081e-04  1.325965450e+00  5.315246562e-04  1.242882921e+00  5.664134639e-06 -8.358271064e-08  5.938429023e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.400000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.241545000e+00 
   4.428400456e-04  3.099472167e-04  1.347184231e+00  5.405317596e-04  1.243095324e+00 -7.671728411e-06  1.106985638e-06  5.940291194e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.500000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241555000e+00 
   3.077047337e-04 -4.638590471e-04  1.368343498e+00  5.566393974e-04  1.243277754e+00 -2.643362527e-06  2.471606505e-06  5.941889354e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.600000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241565000e+00 
  -3.214602331e-04  4.887838257e-04  1.309362081e+00  5.850182131e-04  1.243447124e+00 -7.565905144e-07  4.541237036e-06  5.943372098e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.700000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241575000e+00 
  -1.123730229e-04 -5.852720974e-04  1.330489527e+00  5.959623514e-04  1.243613663e+00  8.911207086e-07 -4.540628894e-06  5.944829103e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.800000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.241585000e+00 
   1.228172472e-04  5.798288271e-04  1.351628997e+00  5.926934663e-04  1.243786413e+00  2.827672435e-06 -2.470595716e-06  5.946339445e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.900000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.241595000e+00 
