time              7.519600000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
   2.823318871e-03 -2.797566018e-03  1.329928382e+00  3.974607537e-03  1.243340823e+00  3.403910661e-05 -4.372889450e-05  5.942441583e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.732000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242735000e+00 
   2.976104043e-03  2.113464028e-03  1.295460298e+00  3.650195265e-03  1.243548226e+00 -4.117616787e-05 -4.363161278e-05  5.944256689e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.779000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242745000e+00 
   2.876182242e-03 -1.140736813e-04  1.250529933e+00  2.878443519e-03  1.244119515e+00  9.744569307e-07 -1.022178427e-06  5.949248885e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.758000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242755000e+00 
   2.834444533e-03 -5.153523091e-04  1.347037752e+00  2.880913712e-03  1.242908828e+00 -2.943361738e-05  7.390055584e-07  5.938656228e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.750000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242765000e+00 
   3.081029901e-03 -3.618501556e-03  1.234972319e+00  4.752504473e-03  1.243640709e+00 -5.893589323e-05  7.566703647e-05  5.945065556e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.800000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242775000e+00 
   3.005156043e-03  7.452913152e-04  1.244890218e+00  3.096194759e-03  1.243977130e+00 -2.510702888e-05 -1.142887034e-05  5.948005692e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.785000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  5.000000000e+00  1.242785000e+00 
   2.929171798e-03  1.376490118e-03  1.240402151e+00  3.236475316e-03  1.243819505e+00 -3.295250593e-05 -2.133285595e-05  5.946628640e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.773000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242795000e+00 
   2.803746965e-03 -2.095148126e-03  1.256512390e+00  3.500091815e-03  1.243850575e+00  1.975567062e-05 -2.002986179e-05  5.946900151e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.740000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242805000e+00 
   2.733553229e-03  8.704508635e-04  1.411939200e+00  2.868797302e-03  1.243092367e+00 -2.846942514e-05 -1.214957134e-05  5.940265276e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.733000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242815000e+00 
   3.047041487e-03  1.618337253e-03  1.354764188e+00  3.450141633e-03  1.243364447e+00 -4.397639060e-05 -2.947661747e-05  5.942648402e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.789000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  4.000000000e+00  1.242825000e+00 
