time              7.519600000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
  -4.197320309e-04 -4.898890089e-04  1.297893663e+00  6.451094626e-04  1.243537259e+00 -5.227522630e-05 -8.303718776e-05  5.944160697e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242745000e+00 
  -3.404629844e-04 -1.722043358e-04  1.382288349e+00  3.815355514e-04  1.243795748e+00 -3.101358253e-05 -4.704881183e-05  5.946421008e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242755000e+00 
  -2.049798883e-04  3.217679583e-05  1.243137088e+00  2.074900017e-04  1.243914726e+00  3.106535329e-05 -1.505200021e-05  5.947460614e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  3.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242765000e+00 
  -1.392756556e-04 -8.182696580e-05  1.326519216e+00  1.615343944e-04  1.243506700e+00  5.551266585e-05  1.396303982e-05  5.943893394e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  4.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242775000e+00 
  -5.919107290e-04  1.344409150e-04  1.408200332e+00  6.069865490e-04  1.242953809e+00 -1.351319243e-04  4.476967641e-05  5.939050512e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  5.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242785000e+00 
  -4.234295576e-04  1.666567704e-04  1.270555822e+00  4.550462278e-04  1.243196378e+00 -7.021264645e-05  8.735683864e-05  5.941176503e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  6.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242795000e+00 
  -2.689715678e-04 -2.642412190e-04  1.353042540e+00  3.770532139e-04  1.243262539e+00  2.953709160e-06 -1.678804531e-04  5.941755872e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  7.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.242805000e+00 
  -1.747613740e-04 -3.345173823e-04  1.437995068e+00  3.774167682e-04  1.244080467e+00  3.023550287e-05 -8.186668589e-05  5.948907959e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  8.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242815000e+00 
  -6.830915221e-05 -7.945271682e-05  1.223625273e+00  1.047801245e-04  1.243102907e+00  8.974403224e-05 -4.219887854e-05  5.940357569e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  9.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  7.000000000e+00  1.242825000e+00 
  -4.878728771e-04 -7.114099139e-05  1.308337812e+00  4.930324380e-04  1.244107737e+00 -1.099443483e-04 -9.839884049e-06  5.949145979e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242835000e+00 
  -3.845114637e-04  1.360392663e-04  1.390752533e+00  4.078673163e-04  1.243244771e+00 -6.271246767e-05  2.108012082e-05  5.941600459e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.100000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  9.000000000e+00  1.242845000e+00 
  -2.475291694e-04  3.062135431e-05  1.252776826e+00  2.494160321e-04  1.243920482e+00 -8.401458950e-06  5.291464136e-05  5.947510887e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.200000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+01  1.242855000e+00 
  -1.839777556e-04  2.678029338e-04  1.334884066e+00  3.249095658e-04  1.243032693e+00  2.825124265e-05  9.639971017e-05  5.939742176e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.300000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  5.000000000e+00  1.242865000e+00 
